metric_name,metric_short_name,domain,module,level,variable_global_name,unit_global,variable_model_name,depth_01,model,unit_model,conversion_factor,function_name
Zoop1_C_gramsPerCubicMeter,Zoop_C,Water,Zooplankton,Level1,Zoop1_C_gramsPerCubicMeter,gramsPerCubicMeter,zooplankton_sD,1,WET,gDW/m3,0.45,
Zoop1_C_gramsPerCubicMeter,Zoop_C,Water,Zooplankton,Level1,Zoop1_C_gramsPerCubicMeter,gramsPerCubicMeter,zooplankton_c,1,SELMAPROTBAS,mmol C/m3,0.01201,
Zoop1_C_gramsPerCubicMeter,Zoop_C,Water,Zooplankton,Level1,Zoop1_C_gramsPerCubicMeter,gramsPerCubicMeter,ZOO_zoo01,1,GLM,mmolC/m**3,0.01201,
Zoop2_C_gramsPerCubicMeter,Zoop_C,Water,Zooplankton,Level1,Zoop2_C_gramsPerCubicMeter,gramsPerCubicMeter,ZOO_zoo02,1,GLM,mmolC/m**3,0.01201,
Zoop3_C_gramsPerCubicMeter,Zoop_C,Water,Zooplankton,Level1,Zoop3_C_gramsPerCubicMeter,gramsPerCubicMeter,ZOO_zoo03,1,GLM,mmolC/m**3,0.01201,
Zooplankton_grazing_miligramsCarbonPerCubicMeterPerDay,Zoop_Grz_C,Water,Zooplankton,Level3,Zooplankton_grazing_miligramsCPerCubicMeterPerDay,miligramsCPerCubicMeterPerDay,ZOO_grz,1,GLM,mmolC/m**3/d,12.01,
Inflow_TN_gramsPerDay,Inf_TN,Inflow,Input,Level1,Inflow_TN_gramsPerDay,,,1,,,,
Inflow_TP_gramsPerDay,Inf_TP,Inflow,Input,Level1,Inflow_TP_gramsPerDay,,,1,,,,
Nitrif_gramsPerCubicMeterPerDay,Nitrif,Water,Nitrogen,Level2,Nitrif_gramsPerCubicMeterPerDay,gramsPerCubicMeterPerDay,NIT_nitrif,1,GLM,mmol N/m3/d,0.014,
Nitrif_gramsPerCubicMeterPerDay,Nitrif,Water,Nitrogen,Level2,Nitrif_gramsPerCubicMeterPerDay,gramsPerCubicMeterPerDay,abiotic_water_wNNitrW,1,WET,g/m3/s,86400,
Denitrif_gramsPerCubicMeterPerDay,Denitrif,Water,Nitrogen,Level2,Denitrif_gramsPerCubicMeterPerDay,gramsPerCubicMeterPerDay,NIT_denit,1,GLM,mmol N/m3/d,0.014,
Denitrif_gramsPerCubicMeterPerDay,Denitrif,Water,Nitrogen,Level2,Denitrif_gramsPerCubicMeterPerDay,gramsPerCubicMeterPerDay,selmaprotbas_DNP,1,SELMAPROTBAS,mmol N/m3/d,0.014,
Denitrif_gramsPerCubicMeterPerDay,Denitrif,Water,Nitrogen,Level2,Denitrif_gramsPerCubicMeterPerDay,gramsPerCubicMeterPerDay,abiotic_water_wNDenitW,1,WET,g/m3/s,86400,
